"";"Horodateur";"Gender";"Age";"Country";"Highest level of education attained";"Have you ever been diving or snorkeling?";"How would you evaluate your knowledge of coral reefs?";"Do you have problems with color perception?";"If you wish to exercise your right of withdrawal, please contact Gita ALISA gitaalisa0808@gmail.com with the following code :"
"29";2023-05-16;"Male";64;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_4768f5b8bc2dedf71869db5c45f2ca68"
"30";2023-05-16;"Male";49;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_46e2ecebc8c2970bf6b057e76e10097c"
"31";2023-05-16;"Male";54;"France";"Doctoral or Professional degree";"Never";"Average";"No";"C_15_judge_2e81716933b8b668f1e1262f4f0a9b85"
"32";2023-05-16;"Female";33;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_ad6a530d574066a3fe1bddc75c3bfc8d"
"33";2023-05-16;"Male";23;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_2ef23d9302af8ff349d0b6aa7f2fa0de"
"34";2023-05-16;"Female";32;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_61c2181913c80fcbbc52646d98712b00"
"35";2023-05-16;"Female";59;"French Southern Territories";"Professional certificate";"Never";"Poor";"No";"C_15_judge_15fbc3cb0eb1ec0409662106a8884b96"
"36";2023-05-16;"Female";25;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_85b7a8b05608e78da6b31088cc2bd486"
"37";2023-05-16;"Female";25;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_1deb6000cd2999e83c2e2acdd173050a"
"38";2023-05-16;"Male";28;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_54ffde82280ba557156c14af75c854b9"
"39";2023-05-16;"Female";26;"Algeria";"Associate's and/or Bachelor's degree";"Only diving";"Average";"No";"C_15_judge_ce7f158f1b72a32f9cfeb3e97c5aa992"
"40";2023-05-16;"Female";24;"France";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_f7c170c64fe93c77bb0efc520a122a0e"
"41";2023-05-16;"Female";25;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_039b233d8540cd153a1819314d89831c"
"42";2023-05-16;"Male";25;"French Southern Territories";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_044f28ad2f79d03669a52240773fc60d"
"43";2023-05-16;"Female";50;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_33268e8ac775ccdb4e65368d0b597213"
"44";2023-05-16;"Female";24;"China";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_8404906b60507269340973cf75e40df6"
"45";2023-05-16;"Male";30;"Switzerland";"Doctoral or Professional degree";"Only snorkeling";"Good";"No";"C_15_judge_aa6aca88a8d66b849fec5a5e7568ebee"
"46";2023-05-16;"Female";24;"Spain";"Master's degree";"Both diving and snorkeling";"Poor";"No";"C_15_judge_58a0d208ef3d6fe5da648d2bbd8e1a13"
"47";2023-05-16;"Female";23;"Portugal";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_bc0c4329de42657aef81871396cebcab"
"48";2023-05-16;"Male";36;"Switzerland";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"Yes";"C_15_judge_697f30f3ff2eb9854ec6debe4741d90e"
"49";2023-05-16;"Male";35;"Colombia";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_d863d4ad5bd70ffabb22d040c0bb0474"
"50";2023-05-16;"Female";25;"Belgium";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_a90572b0e4490862957f23ce74d2383b"
"51";2023-05-16;"Male";61;"Germany";"Doctoral or Professional degree";"Only snorkeling";"Good";"No";"C_15_judge_21900111d8be037cb5e7773cb3d0c2ef"
"52";2023-05-16;"Male";34;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_47bb44315cf57bc240a05d1ec46cba99"
"53";2023-05-16;"Male";24;"France";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_4691e0dd9afd67ba8a63616cab17e0b9"
"54";2023-05-16;"Female";23;"Belgium";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_1281f8b03db54636acaef30767fb8247"
"55";2023-05-16;"Female";26;"United States";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_4cab454b41468f08e21991841eb32744"
"56";2023-05-16;"Male";21;"France";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_7d94f16370335575a4d19dd8b55b74af"
"57";2023-05-16;"Female";24;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_fcf40c071f84aae1702cdfaeb4a517b3"
"58";2023-05-16;"Male";33;"Switzerland";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_c0d675677b584fda52bebca5473b96a8"
"59";2023-05-16;"Male";47;"Italy";"Associate's and/or Bachelor's degree";"Only snorkeling";"Poor";"No";"C_15_judge_f733045c20ef32667b72836a3f4bcce1"
"60";2023-05-16;"Female";28;"Italy";"Doctoral or Professional degree";"Only snorkeling";"Low";"Yes";"C_15_judge_7ffc2c1bd925d5eef895f02743b5190e"
"61";2023-05-16;"Female";21;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_52cb2f81d8cea55978f1d5dfb7306f1d"
"62";2023-05-16;"Male";30;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9e10378649800674e5dd883f35f30499"
"63";2023-05-16;"Female";22;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_7ad1b0d829a7fce73bb417080f09cb51"
"64";2023-05-16;"Male";22;"Italy";"High school graduate";"Only diving";"Poor";"No";"C_15_judge_6a21196e3ccfc45f0509e48198ddc352"
"65";2023-05-16;"Male";21;"France";"Master's degree";"Never";"Poor";"No";"C_15_judge_7606624527cda507253f6fe196d21374"
"66";2023-05-16;"Female";26;"Brazil";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_56597f2b81c68966001ae3bc49d708b9"
"67";2023-05-16;"Female";23;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_cd15200585fcef69c17148f442419358"
"68";2023-05-16;"Male";22;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_0f7c4e801403dc3ea10d4d4249a3c89c"
"69";2023-05-16;"Female";23;"France";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_4db4281d1d52af6ae88645db3e0b3317"
"70";2023-05-16;"Female";23;"Norway";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_26df80a7dbad629cb799ad26d6bf55f0"
"71";2023-05-16;"Female";22;"France";"High school graduate";"Only diving";"Low";"No";"C_15_judge_598466d6f9eb488c4a9e05be6c195316"
"72";2023-05-17;"Male";52;"France";"Doctoral or Professional degree";"Only diving";"Average";"No";"C_15_judge_4484fc352a88b43c9798df4e5692f7ab"
"73";2023-05-17;"Male";37;"France";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_d7a33137f5411368e190cb47d9d66cc3"
"74";2023-05-17;"Female";51;"France";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_55a57980163e7dd1e627c32a97cbbf48"
"75";2023-05-17;"Male";44;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_a396d72af50580fa925788e048dbdb5d"
"76";2023-05-17;"Female";27;"Denmark";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_4f0cc3d63cae030bd76ca5d68c3495a7"
"77";2023-05-17;"Female";37;"Denmark";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_81eb30edd342edd2ab8a6dc6d5cbe077"
"78";2023-05-17;"Male";51;"France";"Doctoral or Professional degree";"Never";"Low";"Yes";"C_15_judge_8f4b77281aef37acd835619c3e3412ff"
"79";2023-05-17;"Female";30;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_18a1fd824b2bb76db39dabe8907448eb"
"80";2023-05-17;"Female";27;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_d5f954c9a2043bbd8462fa00cb9b9bce"
"81";2023-05-17;"Male";69;"French Southern Territories";"Master's degree";"Never";"Poor";"No";"C_15_judge_8d29f01144225331f0b474086481909f"
"82";2023-05-17;"Female";43;"France";"Doctoral or Professional degree";"Never";"Low";"No";"C_15_judge_fafa55b1f473f61617183be18a737c0e"
"83";2023-05-17;"Female";24;"Italy";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_d4a74b8d9d7e6758b875516eb26fd2a1"
"84";2023-05-17;"Female";69;"France";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_356a6ecbcf32f4b37ed614826244d485"
"85";2023-05-17;"Male";22;"France";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_e5099e053a4663e56bf4df2f19fdc827"
"86";2023-05-17;"Female";27;"United Kingdom";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_1a15a3bf40608c5262f7af0795288847"
"87";2023-05-17;"Male";27;"France";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_a6fa647d2ab73be723fc1b2705ae8a24"
"88";2023-05-17;"Male";28;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_9910101b97204444263ea0dd6d3276e4"
"89";2023-05-17;"Male";44;"France";"Doctoral or Professional degree";"Only snorkeling";"Poor";"No";"C_15_judge_699e2d9ff678f617bc72a7e762060192"
"90";2023-05-17;"Female";32;"Switzerland";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_44b3e2315e0cbfa4311f7ad16ab9b29f"
"91";2023-05-17;"Female";58;"French Southern Territories";"Professional certificate";"Never";"Poor";"No";"C_15_judge_8ae8c23e674130425650b834d7d6d8ae"
"92";2023-05-17;"Female";22;"France";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_b9f830c050941bdb414c059acb4fc166"
"93";2023-05-17;"Male";70;"France";"Professional certificate";"Never";"Poor";"No";"C_15_judge_21ade435e057001a8341085f6564bd11"
"94";2023-05-17;"Female";33;"France";"Master's degree";"Never";"Poor";"No";"C_15_judge_99eb6d5c14308e1a22fa95d68fa241ec"
"95";2023-05-17;"Female";30;"Australia";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_12275db7e186dab91c34b4c1461003f2"
"96";2023-05-17;"Female";37;"Switzerland";"Doctoral or Professional degree";"Never";"Low";"No";"C_15_judge_03000467d2e321f218f4fc1bb26322c7"
"97";2023-05-17;"Female";22;"France";"High school graduate";"Never";"Average";"No";"C_15_judge_1bb789a7753a429388ca262b481f95ca"
"98";2023-05-17;"Female";26;"Guadeloupe";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_d02322c4bf581fd440be31c696ac68bd"
"99";2023-05-17;"Male";60;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_9ce63c398f2ad2f5691bd3c5fbc4332f"
"100";2023-05-17;"Male";30;"France";"Master's degree";"Never";"Low";"No";"C_15_judge_788cb821f90e15125b563412cc902005"
"101";2023-05-17;"Female";34;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_20d1d48897e974d6b37c4bd1739bf441"
"102";2023-05-17;"Male";51;"France";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_8688bca85556bb7c85fa83860cf63c1b"
"103";2023-05-17;"Male";25;"Cayman Islands";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_b867347aef051f764eb9867936efbe2a"
"104";2023-05-17;"Female";54;"France";"Doctoral or Professional degree";"Never";"Poor";"No";"C_15_judge_27595dd24f366be58fcc913f8405b6c5"
"105";2023-05-17;"Male";33;"Guadeloupe";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_81b481e60efede484e8ef6e0579b1d6e"
"106";2023-05-17;"Female";58;"Italy";"High school graduate";"Only diving";"Excellent";"No";"C_15_judge_f423169f9730dcde616e1507ff4bb7af"
"107";2023-05-17;"Male";20;"France";"High school graduate";"Never";"Average";"No";"C_15_judge_58dbd5b619463d6e5751bdd6663b5d29"
"108";2023-05-17;"Male";50;"United Kingdom";"High school graduate";"Both diving and snorkeling";"Poor";"No";"C_15_judge_5415f53597519cf9ad050a176d5a02d3"
"109";2023-05-17;"Female";14;"French Southern Territories";"High school graduate";"Never";"Low";"No";"C_15_judge_76cf4b6ebc6819072b31eed6f10f38db"
"110";2023-05-17;"Female";57;"French Guiana";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_79db330d792b585ad4de0a8b516ae179"
"111";2023-05-17;"Male";40;"French Guiana";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_9f06e9413547823788466e235c750ed2"
"112";2023-05-17;"Male";20;"France";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_1076171a50ee72bcd34c8b7bde1f2727"
"113";2023-05-17;"Male";18;"France";"High school graduate";"Never";"Average";"No";"C_15_judge_4865d20a7248c91d6e1e0a607210baec"
"114";2023-05-17;"Female";55;"French Guiana";"None";"Both diving and snorkeling";"Low";"No";"C_15_judge_1ae011cb035dea20b608911415b15be2"
"115";2023-05-17;"Other";23;"France";"Master's degree";"Never";"Average";"No";"C_15_judge_8e1aaa07e9681f9945d165847d9a505d"
"116";2023-05-17;"Male";35;"France";"Doctoral or Professional degree";"Never";"Poor";"No";"C_15_judge_f66e66c07906485dc0dc6b9a0c5284c3"
"117";2023-05-17;"Female";20;"France";"High school graduate";"Never";"Good";"No";"C_15_judge_d4718f7f519f39d85b321aeb7e9c60fa"
"118";2023-05-17;"Female";22;"France";"High school graduate";"Never";"Low";"No";"C_15_judge_dbe18afd506a499aeb116d017561283d"
"119";2023-05-17;"Female";21;"France";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_4bcbc6d978106ddba78e515a73c27070"
"120";2023-05-17;"Female";28;"Denmark";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_438bf96e8a27c5dfd46a33e64d654ec0"
"121";2023-05-17;"Female";44;"French Guiana";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_5195dc1b61d7a5351c2577fb4f09af5a"
"122";2023-05-17;"Female";28;"Canada";"Master's degree";"Only snorkeling";"Good";"No";"C_15_judge_994bf6c728419c47f171c2d70acfd58a"
"123";2023-05-17;"Male";21;"France";"High school graduate";"Never";"Average";"No";"C_15_judge_aaca1bc6605ff2049ac37cb41999b8eb"
"124";2023-05-17;"Female";18;"France";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_626341d5277b1a2ff67d5c8724554b4d"
"125";2023-05-17;"Female";19;"France";"High school graduate";"Never";"Low";"No";"C_15_judge_cc6be12e6486c6bcbf288f90efc9deb3"
"126";2023-05-17;"Female";18;"France";"High school graduate";"Never";"Poor";"No";"C_15_judge_966ed8f46419c5bf8e01163297bd2641"
"127";2023-05-17;"Female";24;"France";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_292f2b8112c592c19f6d5a1db80514c4"
"128";2023-05-17;"Female";25;"France";"Associate's and/or Bachelor's degree";"Only diving";"Poor";"No";"C_15_judge_00a7be3ab8a82571a1e0f0c9b5286216"
"129";2023-05-17;"Female";57;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Low";"Yes";"C_15_judge_f5d889052ed1610fbe2b1a8c595d4ac4"
"130";2023-05-17;"Female";20;"France";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_9427351fc5fcde1cd665c49b43cf8ca2"
"131";2023-05-17;"Male";27;"Brazil";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_030c5c731a1e84f24c6b0b892b1e9994"
"132";2023-05-17;"Female";24;"Canada";"Associate's and/or Bachelor's degree";"Only snorkeling";"Poor";"No";"C_15_judge_8a841b73d386eec33e53195112b6ac92"
"133";2023-05-17;"Male";21;"France";"Master's degree";"Only diving";"Average";"No";"C_15_judge_00d648cedfcf4f840bfa47f6f190250c"
"134";2023-05-17;"Male";25;"Canada";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_f6b9c1c844a1c1931c90d6e456da98a3"
"135";2023-05-17;"Male";34;"Canada";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_0b1136413711cde4f230839a02435b34"
"136";2023-05-17;"Male";21;"France";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_7b6fb4621ceeb6e69e9470fdb0512eb0"
"137";2023-05-17;"Male";18;"France";"High school graduate";"Both diving and snorkeling";"Low";"No";"C_15_judge_ccf5553a6136f90ef0b259bad8c63025"
"138";2023-05-18;"Female";17;"France";"High school graduate";"Only diving";"Average";"No";"C_15_judge_8e14344f50014cacc1da5b136e16b105"
"139";2023-05-18;"Male";8;"France";"None";"Only snorkeling";"Low";"No";"C_15_judge_45ebeea5bb596131454ba58871fca314"
"140";2023-05-18;"Female";39;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_fa053d4be7e1a83171569f8b7578ceba"
"141";2023-05-18;"Female";33;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_04b43c59493f3ff7a02b00114b66b406"
"142";2023-05-18;"Female";28;"Hong Kong";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_ee8043fe3c59e963e0ee8b7269b61729"
"143";2023-05-18;"Female";25;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_de2d9c4e15f339aa306fbb3d60be11e3"
"144";2023-05-18;"Female";27;"United Kingdom";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_8e3070e88631c680195249a7f9e0b400"
"145";2023-05-18;"Male";29;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_a767115cc0dd9293b8b9b6482127e29b"
"146";2023-05-18;"Male";28;"United States";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_6cc687d8801ee101ab5d22e26d5a4d82"
"147";2023-05-18;"Male";35;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_f3a1f2b236f2a1748d50cda8f7099984"
"148";2023-05-18;"Male";40;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_1a65ca0802670efd5bdcaf457c2404e0"
"149";2023-05-18;"Male";18;"France";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_8cd3a63bf64983c17ca653c7236c99fb"
"150";2023-05-18;"Female";26;"Portugal";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_3639c69346c70859e2eb5f36818b7b51"
"151";2023-05-18;"Female";31;"United States";"Doctoral or Professional degree";"Never";"Good";"No";"C_15_judge_2c8b199b3c97e0e1546d1316aa7f14f5"
"152";2023-05-18;"Male";68;"Australia";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_e1ff6199c7072ae3e2919dd5a4712f71"
"153";2023-05-18;"Female";30;"United States";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_021633b135574233d6b72a37f8c266b4"
"154";2023-05-18;"Male";23;"France";"Master's degree";"Both diving and snorkeling";"Good";"Yes";"C_15_judge_157113b0a17ccc4ec63bf390ad433437"
"155";2023-05-18;"Male";64;"France";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_d55bf330e4e63af427dc5e37802247ef"
"156";2023-05-18;"Male";20;"France";"High school graduate";"Never";"Poor";"No";"C_15_judge_b3fc04421b8f01029c4744097e311fc4"
"157";2023-05-18;"Male";38;"France";"Doctoral or Professional degree";"Only snorkeling";"Good";"No";"C_15_judge_092185cbe59e01fbb61c27a2448293b8"
"158";2023-05-18;"Female";28;"United States";"Doctoral or Professional degree";"Never";"Poor";"No";"C_15_judge_ccd789d6314ae9723a08c453f82cdeb8"
"159";2023-05-18;"Female";25;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_ea2feb523fe712b13efc46f93ed71530"
"160";2023-05-18;"Female";29;"United States";"Associate's and/or Bachelor's degree";"Only snorkeling";"Good";"No";"C_15_judge_bfb203e48739f42e2729cdec397e2056"
"161";2023-05-19;"Male";44;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_8851f86c87b2013573bc3056cc27861f"
"162";2023-05-19;"Female";30;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_66ea801d582d6f8160fd8c7d45cc07a1"
"163";2023-05-19;"Male";37;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_7c8cf6bde8d1d099651f401975538abf"
"164";2023-05-19;"Female";24;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_cd7cc879780a40bcce539e374219fbe0"
"165";2023-05-19;"Female";36;"France";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Poor";"No";"C_15_judge_09086457bc8667937fba0c892f594837"
"166";2023-05-19;"Female";20;"France";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_f578201afd672b8a3bd07b117490bbf5"
"167";2023-05-19;"Female";39;"Bulgaria";"Doctoral or Professional degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_f951ab45d69eda960b4cc54bdd34f979"
"168";2023-05-19;"Male";40;"Canada";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_63bf5a04ea37aec69fdf316f0eb67212"
"169";2023-05-19;"Female";41;"France";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_2f2033ecfab7e46faba405b185ba7c60"
"170";2023-05-19;"Female";31;"Canada";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_9d46f77dc45307be5980ec54fbf31703"
"171";2023-05-19;"Female";41;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_45b51c42b0e4e171e56daa55347546ac"
"172";2023-05-19;"Female";37;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Poor";"No";"C_15_judge_161ac8ac541779b86258d3af8c2b0de2"
"173";2023-05-19;"Male";20;"France";"High school graduate";"Never";"Low";"No";"C_15_judge_5754b11f4169c7af888edf6835c2a8b7"
"174";2023-05-19;"Female";46;"France";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_0a7136afae04cdda642af7b16e4c33fd"
