"";"Horodateur";"Genre";"Age";"Pays";"Plus haut niveau d'étude";"Avez-vous déjà fait de la plongée (bouteille et/ou masque et tuba)";"Comment évaluez-vous vos connaissances sur les récifs coralliens ?";"Avez vous des problèmes avec les perception des couleurs ?";"Si vous souhaitez exercer votre droit de rétractation, veuillez contacter Gita ALISA gitaalisa0808@gmail.com avec le code suivant :"
"43";2023-05-15;"Femme";17;"France";"Aucun";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_4ba5e7d1479ade7cd0b1bb049624c8b3"
"44";2023-05-15;"Femme";17;"French Southern Territories";"Certificat d'étude";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_177fa02db8ad77e047581075c13bd3dc"
"45";2023-05-15;"Autre";25;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_3d17b6419167ea4d8c362631e9c0b7c2"
"46";2023-05-15;"Femme";24;"France";"Bac+3";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_4de086e33fede731c235f1c22006bed5"
"47";2023-05-15;"Femme";16;"France";"Certificat d'étude";"Non";"Faible";"Oui";"ID_JUGEC_18_judge_3c795459f3b3923f91b9b07a1007fd6b"
"48";2023-05-15;"Femme";18;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_d95475379ef8b23a3ede2279a89345a8"
"49";2023-05-15;"Femme";16;"France";"Certificat d'étude";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_3a688f5b9019006498ace76f3450f10f"
"50";2023-05-15;"Homme";45;"France";"Bac+3";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_d978507f7b79015ea47cc4e5664cb856"
"51";2023-05-15;"Femme";99;"American Samoa";"Aucun";"Plongée bouteille";"Excellente";"Non";"ID_JUGEC_18_judge_a76d3665f796b41973150e7dcf4da9f0"
"52";2023-05-15;"Homme";16;"France";"Aucun";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_319023f8e6bb32ceab9605ac9f1112b8"
"53";2023-05-15;"Homme";17;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_0353a1296d302c9c8423dd201a139c72"
"54";2023-05-15;"Homme";46;"France";"Bac+3";"Plongée masque et tuba";"Bonne";"Non";"ID_JUGEC_18_judge_03c8b02a10190ee00e9b610f40b10b5e"
"55";2023-05-15;"Femme";43;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_689b5d2258dffcd8ed98549bd875ad8f"
"56";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_540f06605e73a7212a893ed61cb91eac"
"57";2023-05-15;"Femme";25;"France";"Bac+8 (doctorat)";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_dba6a7bc55c523433602f34bb1d15229"
"58";2023-05-15;"Femme";16;"France";"Aucun";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_e994c5455026ffda96340d0fc2a3e2e3"
"59";2023-05-15;"Homme";69;"French Southern Territories";"Bac+5";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_761c7685784288f22dae4643e24aff1d"
"60";2023-05-15;"Homme";17;"France";"Aucun";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_f0be2c13c752b29dd232ef7bd43f5f95"
"61";2023-05-15;"Femme";21;"France";"Aucun";"Non";"Faible";"Non";"ID_JUGEC_18_judge_9f2e8f39dc840ea0196ba91641a1fdf1"
"62";2023-05-15;"Femme";52;"France";"Bac+3";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_c0a96625aeff150163872ce7b61282dc"
"63";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_b2617427694655243eb35223c89614bf"
"64";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_ccbe07046db8fe78a17effcd750dcd77"
"65";2023-05-15;"Femme";19;"France";"Bac+3";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_15c5ea56058ff856137dd6ae8f7372da"
"66";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_eab644b02e5ca70dab75b7e6dccd52bd"
"67";2023-05-15;"Femme";20;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_5f83270f4a32bfba5e9b475580ad005e"
"68";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_02bd3949016a97878aaa2e10eeef40eb"
"69";2023-05-15;"Femme";24;"France";"Bac+3";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_f2fc73d5dacc38918cbeed3b29b81884"
"70";2023-05-15;"Femme";20;"France";"Aucun";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_aa04e7e1aae861f69dc9f6e1427cab8a"
"71";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_9ae35e293c93389678c34772a59ad57a"
"72";2023-05-15;"Homme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_fdd5d69147176f4661c50bba6ea4e1d4"
"73";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_1485da9d45393b5e59f5011e608e4bde"
"74";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_99eb7bd19507b11d68d025c5aef82c72"
"75";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_e178050e5f75075a42f52fcedd7e9d6f"
"76";2023-05-15;"Femme";21;"France";"Bac+3";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_a0e466f255a2f9cfca99e134f887252c"
"77";2023-05-15;"Homme";21;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_a01d776dd6ab7c85ce1508b2783f7ba6"
"78";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Moyenne";"Non";"ID_JUGEC_18_judge_2451a3acd7b3b0bd7cb8c188ceaafb8e"
"79";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_5205b5f3d125a4dede6899c6980311fb"
"80";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_e7a974a25da13feaba870e92d3e2f2de"
"81";2023-05-15;"Femme";43;"France";"Bac+3";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_d8dd29090d6ab3a877cfc507c928ffa3"
"82";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_ad3ddbe5b50fd9745a62f6f6a445374c"
"83";2023-05-15;"Femme";20;"France";"Bac+3";"Non";"Faible";"Non";"ID_JUGEC_18_judge_3f0a23696d873e49847f41e32ca41342"
"84";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée bouteille";"Aucune";"Non";"ID_JUGEC_18_judge_6faf31c50fc45f01a3c6af7ac1127208"
"85";2023-05-15;"Femme";39;"French Southern Territories";"Bac+3";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_90daea375b3ac792c9b9bc807736c0c1"
"86";2023-05-15;"Femme";20;"France";"Bac+3";"Non";"Bonne";"Non";"ID_JUGEC_18_judge_e196ba3a1697c245ef9d79fc4992c989"
"87";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_b308a3f146ea41c886dcdf1e42712ac6"
"88";2023-05-15;"Femme";40;"France";"Bac+3";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_e595e3b3d99b580655b147d7583f4121"
"89";2023-05-15;"Femme";21;"France";"Bac+3";"Non";"Bonne";"Non";"ID_JUGEC_18_judge_a78db1941a288688aa5fa0f3dcede58d"
"90";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_c80ba00cbd2d12647dcbc8d8407872e7"
"91";2023-05-15;"Homme";46;"France";"Bac+5";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_cb9fa5e9f28a635f1455afecc30a28b8"
"92";2023-05-15;"Femme";47;"France";"Bac+3";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_d2d4cdb7873bf864088d664ccd9cacd6"
"93";2023-05-15;"Femme";20;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_428f13fc356de2e4d16b17c1a981f765"
"94";2023-05-15;"Homme";20;"France";"Aucun";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_11e3433e8168615a067f92caf308344a"
"95";2023-05-15;"Homme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée bouteille";"Bonne";"Non";"ID_JUGEC_18_judge_ef0e00be5317373527f12ac6693bb167"
"96";2023-05-15;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_5943fa27b3b8ab3a1cf84aa6b5c23a75"
"97";2023-05-15;"Homme";20;"French Southern Territories";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Moyenne";"Non";"ID_JUGEC_18_judge_13566525eb242a6cf53de9924de0f04c"
"98";2023-05-15;"Homme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_9253d9bf6f19f0d8fc91222281d82c28"
"99";2023-05-15;"Homme";55;"France";"Bac+8 (doctorat)";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_020af7f1c6a26fa4c0c1290d9ec1f733"
"100";2023-05-15;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_f9a6b496d3b62e2032537c5229da02e6"
"101";2023-05-15;"Femme";23;"Italy";"Bac+3";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_cc31506f0ea7de729a7ede9b62209d51"
"102";2023-05-16;"Homme";17;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Bonne";"Non";"ID_JUGEC_18_judge_76cdfbd3fb5608162f03816a7eeffe1d"
"103";2023-05-16;"Homme";17;"France";"Aucun";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_1bd6d8235c790355dc60d20d54dbbbab"
"104";2023-05-16;"Femme";23;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_bce435746fab675ed5ebe3509209e339"
"105";2023-05-16;"Homme";29;"Réunion";"Bac+5";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_1b85b459ba96b24b41532e77956477da"
"106";2023-05-16;"Femme";32;"France";"Bac+5";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_2f6fff6a21ef931985b7e5335d954365"
"107";2023-05-16;"Homme";27;"France";"Bac+5";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_df661c4c2b1f9d2fbe60b09d901c80d8"
"108";2023-05-16;"Homme";53;"France";"Bac+3";"Non";"Moyenne";"Non";"ID_JUGEC_18_judge_536216035aae5bcfa429f0df5e4f0df9"
"109";2023-05-16;"Femme";20;"France";"Bac+3";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_6b42d1c1d668677e040eccffd217ff37"
"110";2023-05-16;"Femme";45;"France";"Bac+3";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_fa08273e7bb6018207838ef13b1707a8"
"111";2023-05-16;"Homme";37;"France";"Bac+3";"Les deux";"Aucune";"Non";"ID_JUGEC_18_judge_89f30a4281acc30c46b30160f68ded0b"
"112";2023-05-16;"Femme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_131bc86662cd15badcb89675c82011f5"
"113";2023-05-16;"Homme";38;"France";"Bac+8 (doctorat)";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_d4f315493ebf24823a50553fcd46bdda"
"114";2023-05-16;"Femme";26;"France";"Bac+8 (doctorat)";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_f865d68d152db192642f6bf312fa6e15"
"115";2023-05-16;"Femme";25;"France";"Bac+5";"Non";"Faible";"Non";"ID_JUGEC_18_judge_c1769277a5c69d56c623a772ed9915c7"
"116";2023-05-16;"Femme";17;"France";"Certificat d'étude";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_4659b80474c1df9760a846d5a55c00c9"
"117";2023-05-16;"Homme";20;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_349765d67677abbf68d9f9bd6c61028d"
"118";2023-05-16;"Femme";25;"France";"Bac+5";"Non";"Faible";"Non";"ID_JUGEC_18_judge_b25dc775ccd71a998c684ba5be485f4d"
"119";2023-05-16;"Femme";29;"France";"Bac+5";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_c179042060b40cab97e1579d74c9ba59"
"120";2023-05-16;"Homme";54;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_a6c44c532232b936600996b79f38d281"
"121";2023-05-16;"Femme";40;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_28911b99a362f14b8baca2e8fd666f24"
"122";2023-05-16;"Homme";28;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_4ade708b00fc0944d078726bef0bd40a"
"123";2023-05-16;"Femme";43;"France";"Bac+3";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_01d5ff0a21968cede460d3a309261999"
"124";2023-05-16;"Femme";33;"France";"Bac+5";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_398c1ee10f5f51666ea01eb36748fb4e"
"125";2023-05-16;"Homme";36;"France";"Bac+5";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_cb184d78f59cd3cc4952be1d9a53f29b"
"126";2023-05-16;"Homme";33;"France";"Bac+8 (doctorat)";"Les deux";"Excellente";"Non";"ID_JUGEC_18_judge_784409b22cd8da2d24f94280d62181e8"
"127";2023-05-16;"Homme";60;"France";"Bac+8 (doctorat)";"Plongée masque et tuba";"Aucune";"Non";"ID_JUGEC_18_judge_566a34b2e8003d9c2c474fcc1f082c19"
"128";2023-05-16;"Femme";16;"France";"Certificat d'étude";"Non";"Faible";"Non";"ID_JUGEC_18_judge_6d7e3474ed1ae42a2f5f95a8b0c3c3b7"
"129";2023-05-16;"Femme";29;"Switzerland";"Bac+8 (doctorat)";"Les deux";"Excellente";"Non";"ID_JUGEC_18_judge_0c87d8120d440f2980844fbd2643d83b"
"130";2023-05-16;"Femme";39;"France";"Bac+3";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_6827328ed6f848d66e3c0fa5c02df9fb"
"131";2023-05-16;"Homme";22;"France";"Bac+3";"Plongée bouteille";"Faible";"Non";"ID_JUGEC_18_judge_4eb197699c2a76f923fb0bd535a5d619"
"132";2023-05-16;"Femme";21;"France";"Bac+3";"Les deux";"Bonne";"Non";"ID_JUGEC_18_judge_7326cb396c86af193218e02d86bd26fd"
"133";2023-05-16;"Homme";26;"France";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_9534fc3a557eb2a009cd308335ec0d15"
"134";2023-05-16;"Femme";18;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_d3f572110c99b107f61ee7d656c3b9db"
"135";2023-05-16;"Femme";25;"France";"Bac+5";"Les deux";"Excellente";"Non";"ID_JUGEC_18_judge_de202b7b5b13ea57cf1c04118f140553"
"136";2023-05-16;"Femme";16;"France";"Aucun";"Non";"Aucune";"Non";"ID_JUGEC_18_judge_e1955886f6d42d9fa959038b4705b84a"
"137";2023-05-16;"Femme";27;"France";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_7f545a08f1b081f299b5f51d8ba19023"
"138";2023-05-16;"Homme";40;"France";"Bac+5";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_a8ac19f835c42d459678557b2dda1397"
"139";2023-05-16;"Femme";37;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_14cb750b38041944c1041b33329d2fc6"
"140";2023-05-16;"Homme";24;"France";"Bac+5";"Les deux";"Excellente";"Non";"ID_JUGEC_18_judge_a72c1b701d8971903a49e4e5d18344b0"
"141";2023-05-16;"Femme";27;"France";"Bac+8 (doctorat)";"Plongée bouteille";"Bonne";"Non";"ID_JUGEC_18_judge_3c11d622d278f4dcb1a9feffcdb4e8cd"
"142";2023-05-16;"Femme";32;"France";"Bac+5";"Plongée masque et tuba";"Faible";"Non";"ID_JUGEC_18_judge_d58217b5726b63395e3564d41253209b"
"143";2023-05-16;"Homme";48;"France";"Bac+5";"Plongée masque et tuba";"Moyenne";"Non";"ID_JUGEC_18_judge_846f2ee8db4350fabc94e0f754265ce5"
"144";2023-05-16;"Femme";28;"France";"Bac+8 (doctorat)";"Les deux";"Excellente";"Non";"ID_JUGEC_18_judge_ed2418e1d287f52a2765db472c89d831"
"145";2023-05-16;"Homme";32;"France";"Bac+8 (doctorat)";"Les deux";"Moyenne";"Oui";"ID_JUGEC_18_judge_774841075ff1c911088e0f82b0e4e69b"
"146";2023-05-16;"Femme";25;"Mayotte";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_a23cadf4a32102ab777bcfe8a338c52f"
"147";2023-05-16;"Homme";56;"France";"Bac+5";"Les deux";"Faible";"Non";"ID_JUGEC_18_judge_03439d8907f8c6c190de79dd4ba1ec7b"
"148";2023-05-16;"Femme";22;"France";"Bac+5";"Non";"Bonne";"Non";"ID_JUGEC_18_judge_baec2618e20c510a1912868ecb0c114f"
"149";2023-05-16;"Femme";42;"France";"Bac+5";"Les deux";"Moyenne";"Non";"ID_JUGEC_18_judge_10b95c681f40d811e2243e21d4988c5b"
"150";2023-05-16;"Homme";33;"Switzerland";"Bac+8 (doctorat)";"Plongée bouteille";"Bonne";"Non";"ID_JUGEC_18_judge_653f6297a63418d709c75669f5222adc"
"151";2023-05-16;"Femme";19;"France";"Baccalauréat, Certificat professionnel (CAP, BEP)";"Non";"Faible";"Non";"ID_JUGEC_18_judge_72fff79d9adeff4fa3fea413f8a507ac"
